name,brand,price,processor,Ram,Ram_type,ROM,ROM_type,GPU,OS,display_size,resolution_width,resolution_height,warranty,image_url,buy_url,source
"HP 15, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc1038AU, AMD Radeon FHD Camera w/Shutter, Backlit Laptop",HP,59990.0,Amd Ryzen 7 7735Hs,16.0,DDR5,512.0,SSD,Amd Radeon Fhd,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/714-RoZpQML._SL500_.jpg,,amazon
"Dell 15 (Previously Inspiron), 13th Gen Intel Core i5-1334U (16GB RAM, 1TB SSD) FHD, Anti-Glare 15.6""/39.62cm, Windows 11 MSO'24, Silver, 1.62kg, 12 Month McAfee, Thin & Light, Backlit Keyboard Laptop",Dell,65548.0,Intel Core I5-1334U,16.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,2560,1600,1,https://m.media-amazon.com/images/I/611DLBKu8JL._SL500_.jpg,,amazon
"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop",Acer,43990.0,Intel Core i5,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/718UBZxpxrL._SL500_.jpg,,amazon
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",HP,46990.0,Intel Core I3-1315U,8.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/61R5Ecv7i-L._SL500_.jpg,,amazon
"HP Victus, 14th Gen Intel Core i5-14450HX, 6GB RTX 3050, 24GB DDR5, 512GB SSD, FHD, 144Hz, 300 nits, IPS,15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2303tx/fa2315tx, RGB Gaming Laptop",HP,103990.0,Intel Core I5-14450Hx,24.0,DDR5,512.0,SSD,Rtx 3050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71KML--Vz9L._SL500_.jpg,,amazon
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop",HP,89990.0,Amd Ryzen 7 7445Hs,16.0,DDR5,512.0,SSD,Rtx 4050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71r2ySSfgBL._SL500_.jpg,,amazon
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",ASUS,59990.0,Intel Core I5 13Th,16.0,DDR4,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/818iNyzckGL._SL500_.jpg,,amazon
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS",ASUS,92990.0,Intel Core i5,16.0,DDR4,512.0,SSD,Rtx 4050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71YeigfZCuL._SL500_.jpg,,amazon
"HP 15, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 15''/39.6cm, Win11, M365* Office24, Silver, 1.65kg, FD1458TU, FHD Camera, Backlit Laptop",HP,76990.0,Intel Core Ultra 5,24.0,DDR5,512.0,SSD,Intel Iris Xe,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71GUbAzXvLL._SL500_.jpg,,amazon
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",HP,112990.0,Intel Core I7-13620H,24.0,DDR5,512.0,SSD,Rtx 5050,Windows 11,15.6,1920,1080,1,https://m.media-amazon.com/images/I/71HKFtogydL._SL500_.jpg,,amazon
